0.0,100.63,100.653,100.600
4.0,100.65,100.660,100.600
8.0,100.65,100.659,100.595
12.0,100.65,100.656,100.593
16.0,100.66,100.652,100.593
20.0,100.65,100.652,100.601
24.0,100.66,100.643,100.602
28.0,100.66,100.634,100.611
32.0,100.65,100.625,100.612
36.0,100.65,100.627,100.609
40.0,100.65,100.627,100.610
44.0,100.65,100.661,100.620
48.0,100.65,100.658,100.611
52.0,100.64,100.670,100.602
56.0,100.63,100.661,100.602
60.0,100.64,100.659,100.599
64.0,100.65,100.643,100.587
68.0,100.65,100.627,100.591
72.0,100.65,100.620,100.586
76.0,100.65,100.603,100.571
80.0,100.65,100.605,100.577
84.0,100.65,100.615,100.579
88.0,100.63,100.630,100.582
92.0,100.63,100.632,100.580
96.0,100.63,100.638,100.570
100.0,100.65,100.651,100.576
104.0,100.66,100.660,100.585
108.0,100.65,100.660,100.587
112.0,100.65,100.649,100.581
116.0,100.66,100.641,100.586
120.0,100.65,100.638,100.588
124.0,100.65,100.645,100.598
128.0,100.66,100.647,100.596
132.0,100.66,100.657,100.598
136.0,100.65,100.682,100.605
140.0,100.65,100.690,100.608
144.0,100.66,100.686,100.601
148.0,100.66,100.677,100.593
152.0,100.66,100.661,100.593
156.0,100.66,100.650,100.594
160.0,100.65,100.641,100.595
164.0,100.65,100.625,100.589
168.0,100.65,100.622,100.593
172.0,100.65,100.619,100.598
176.0,100.66,100.649,100.644
180.0,100.65,100.629,100.590
184.0,100.66,100.641,100.585
188.0,100.65,100.647,100.588
192.0,100.65,100.653,100.582
196.0,100.66,100.649,100.574
200.0,100.65,100.649,100.580
204.0,100.66,100.647,100.587
208.0,100.65,100.641,100.590
212.0,100.65,100.633,100.594
216.0,100.65,100.635,100.602
220.0,100.65,100.602,100.612
224.0,100.66,100.658,100.619
228.0,100.66,100.664,100.621
232.0,100.65,100.661,100.621
236.0,100.65,100.658,100.617
240.0,100.65,100.658,100.609
244.0,100.66,100.647,100.600
248.0,100.65,100.642,100.598
252.0,100.65,100.641,100.597
256.0,100.65,100.623,100.592
260.0,100.66,100.604,100.593
264.0,100.66,100.601,100.585
268.0,100.66,100.587,100.584
272.0,100.66,100.586,100.591
276.0,100.66,100.581,100.584
280.0,100.65,100.586,100.578
284.0,100.65,100.599,100.582
288.0,100.66,100.610,100.584
292.0,100.66,100.616,100.578
296.0,100.66,100.621,100.574
300.0,100.66,100.630,100.579
304.0,100.65,100.640,100.579
308.0,100.65,100.647,100.585
312.0,100.65,100.651,100.591
316.0,100.65,100.660,100.599
320.0,100.66,100.662,100.615
324.0,100.66,100.680,100.629
328.0,100.66,100.677,100.628
332.0,100.66,100.669,100.626
336.0,100.65,100.650,100.615
340.0,100.65,100.646,100.615
344.0,100.65,100.643,100.604
348.0,100.66,100.642,100.602
352.0,100.66,100.650,100.601
356.0,100.66,100.653,100.605
